Movie,IndiaNet,IndiaGross,Overseas,Worldwide,imdb_id,tmdb_id,imdb_rating,runtime,rating_count,budget,Verdict
Bhediya,66.65,79.35,10.62,89.97,tt14099334,799177.0,6.907,156.0,54.0,7100000.0,Blockbuster
Dilwale Dulhania Le Jayenge,53.31,74.04,15.57,89.61,tt112870,,5.8,101.0,50.0,10400000.0,Blockbuster
Devdas,41.66,57.86,31.6,89.46,tt238936,,6.571,145.0,50.0,68000000.0,Blockbuster
Chandu Champion,62.95,74.94,13.79,88.73,tt27470893,1020951.0,7.333,143.0,21.0,1600000.0,Blockbuster
Wanted,60.24,77.23,10.19,87.42,tt493464,,5.2,172.0,50.0,7100000.0,Blockbuster
Raanjhanaa,60.35,77.37,9.89,87.26,tt2359810,191121.0,6.565,140.0,147.0,6400000.0,Blockbuster
Shubh Mangal Zyada Saavdhan,60.78,72.36,14.03,86.39,tt10309906,606535.0,6.0,120.0,51.0,2710738.0,Blockbuster
102 Not Out,52.045,66.72,19.24,85.96,tt6580564,460713.0,7.459,107.0,61.0,5510000.0,Blockbuster
Malang,58.99,70.23,14.27,84.5,tt9877170,661043.0,6.967,135.0,60.0,7907534.0,Blockbuster
Jaane Tu... Ya Jaane Na,55.62,77.25,6.91,84.16,tt473367,,6.3,155.0,50.0,2710738.0,Blockbuster
Kai Po Che!,49.67,68.99,14.4,83.39,tt2213054,168245.0,7.022,126.0,135.0,19500000.0,Blockbuster
Guru,45.49,63.18,19.89,83.07,tt499375,,7.288,143.0,50.0,5103000.0,Blockbuster
Dostana,44.38,61.64,21.22,82.86,tt1185420,14071.0,6.151,141.0,159.0,10000000.0,Blockbuster
Bhool Bhulaiyaa,49.1,68.19,14.16,82.35,tt995031,,4.9,97.0,50.0,4587786.0,Blockbuster
Once Upon A Time In Mumbaai,55.47,77.04,5.09,82.13,tt1395054,42966.0,6.669,132.0,86.0,19000000.0,Blockbuster
Kal Ho Naa Ho,38.55,53.54,28.41,81.95,tt347304,,6.392,137.0,50.0,6000000.0,Blockbuster
Phantom,54.19,75.26,6.36,81.62,tt25503544,715253.0,6.914,132.0,58.0,14000000.0,Blockbuster
Kambakkht Ishq,47.09,60.37,21.24,81.61,tt1144804,10788.0,4.1,134.0,55.0,16000000.0,Blockbuster
Badlapur,50.07,69.54,11.77,81.31,tt3678782,323517.0,7.0,134.0,141.0,3700000.0,Blockbuster
Kahaani,51.55,71.6,8.83,80.43,tt1821480,82825.0,7.2,122.0,314.0,1200000.0,Blockbuster
Golmaal Returns,51.12,71.0,7.51,78.51,tt1092005,14546.0,5.394,136.0,118.0,4200000.0,Blockbuster
De Dana Dan,48.01,61.55,16.88,78.43,tt1255951,25867.0,5.633,166.0,83.0,8000000.0,Blockbuster
Heropanti,52.92,73.5,4.4,77.9,tt3142232,271200.0,5.739,146.0,67.0,4200000.0,Blockbuster
Desi Boyz,42.4,58.89,18.77,77.66,tt1985981,79990.0,6.199,122.0,98.0,2200000.0,Blockbuster
Main Tera Hero,50.6,70.28,6.97,77.25,tt2762334,262903.0,5.7,128.0,187.0,23000000.0,Blockbuster
Mohabbatein,41.88,58.17,18.74,76.91,tt213890,,4.9,131.0,50.0,4800000.0,Blockbuster
Shuddh Desi Romance,46.6,64.72,11.92,76.64,tt2988272,209410.0,5.73,126.0,63.0,7000000.0,Blockbuster
Wazir,41.02,56.97,19.31,76.28,tt315642,,7.4,126.0,50.0,2721526.0,Blockbuster
Kis Kisko Pyaar Karoon,49.38,68.58,7.63,76.21,tt4302956,358985.0,5.8,132.0,30.0,12000000.0,Blockbuster
Koi Mil Gaya,47.2,65.56,10.01,75.57,tt254481,,4.564,115.0,50.0,20000000.0,Blockbuster
Thank You,46.57,64.68,10.69,75.37,tt427944,,7.0,123.0,50.0,700000.0,Blockbuster
Ek Main Aur Ekk Tu,39.75,55.21,19.99,75.2,tt1703958,84533.0,5.6,110.0,148.0,7400000.0,Blockbuster
New York,45.39,58.19,16.44,74.63,tt217505,,5.617,98.0,50.0,7000000.0,Blockbuster
Agent Vinod,43.29,60.13,14.44,74.57,tt1395025,85050.0,5.5,157.0,63.0,75000000.0,Blockbuster
Shaandaar,43.13,59.9,13.36,73.26,tt4007558,362140.0,4.3,144.0,61.0,1600000.0,Blockbuster
Bachchhan Paandey,49.98,59.5,13.67,73.17,tt10699086,715765.0,5.241,147.0,29.0,6400000.0,Blockbuster
No Entry,44.72,62.11,9.92,72.03,tt451833,,5.833,126.0,50.0,6431385.0,Blockbuster
I Hate Luv Storys,43.17,59.96,12.04,72.0,tt1667838,40777.0,5.9,129.0,78.0,4400000.0,Blockbuster
Heroine,43.45,60.35,11.38,71.73,tt1949548,134215.0,5.11,140.0,41.0,5.0,Blockbuster
Namastey London,37.29,51.79,19.23,71.02,tt795434,,5.5,158.0,50.0,7445000.0,Blockbuster
Shaadi Ke Side Effects,37.36,51.89,18.85,70.74,tt13624310,,6.6,136.0,9.0,4400000.0,Blockbuster
Roy,44.52,61.83,8.59,70.42,tt2976182,316900.0,4.9,146.0,26.0,500.0,Blockbuster
Main Hoon Na,36.2,50.28,19.99,70.27,tt347473,,6.392,146.0,50.0,1250000.0,Blockbuster
Murder 2,47.9,66.53,3.67,70.2,tt1918965,69775.0,5.7,127.0,48.0,15000000.0,Blockbuster
Anjaana Anjaani,40.29,55.96,13.89,69.85,tt1499201,44566.0,6.0,151.0,82.0,6400000.0,Blockbuster
12th Fail,56.75,67.56,2.08,69.64,tt23849204,1163258.0,7.946,146.0,176.0,2400000.0,Blockbuster
Hum Saath Saath Hain,39.18,54.42,15.16,69.58,tt216817,,8.5,129.0,50.0,1600000.0,Blockbuster
Ta Ra Rum Pum,38.45,53.4,15.75,69.15,tt833553,,5.3,140.0,50.0,6001924.0,Blockbuster
Himmatwala,47.45,60.83,8.04,68.87,tt2344678,180680.0,3.0,150.0,50.0,9500000.0,Blockbuster
Ek Villain Returns,41.69,49.63,19.01,68.64,tt11947158,682401.0,6.0,127.0,128.0,24066000.0,Blockbuster
Veer,46.0,63.89,4.22,68.11,tt1185412,30886.0,5.1,160.0,46.0,1250000.0,Blockbuster
Maidaan,52.29,62.25,5.84,68.09,tt10869778,668340.0,7.9,181.0,15.0,20000000.0,Blockbuster
Kaminey,41.52,53.23,14.79,68.02,tt1274295,20688.0,6.7,135.0,99.0,9000000.0,Blockbuster
Phir Hera Pheri,40.8,56.67,11.04,67.71,tt419058,,5.47,133.0,50.0,3000000.0,Blockbuster
Kaho Naa... Pyaar Hai,44.28,61.5,5.98,67.48,tt234000,,6.859,134.0,50.0,2600000.0,Blockbuster
Bhagam Bhag,40.38,56.08,11.26,67.34,tt805184,,5.2,165.0,50.0,2293893.0,Blockbuster
Mardaani 2,47.57,56.63,10.49,67.12,tt5668770,591101.0,7.118,103.0,68.0,2800000.0,Blockbuster
Tevar,39.26,54.53,11.45,65.98,tt3398048,312809.0,5.1,159.0,33.0,5600000.0,Blockbuster
Kyaa Super Kool Hain Hum,45.14,62.69,3.05,65.74,tt2027138,120101.0,4.9,137.0,33.0,224056.0,Blockbuster
Shubh Mangal Saavdhan,43.11,55.27,10.37,65.64,tt6971752,471892.0,6.5,105.0,73.0,3425875.0,Blockbuster
Marjaavaan,47.78,56.88,8.46,65.34,tt9248934,627715.0,7.1,133.0,33.0,10400000.0,Blockbuster
Ragini MMS - 2,45.99,63.88,0.57,64.45,tt2609218,260266.0,4.9,120.0,36.0,24066000.0,Blockbuster
Jannat 2,42.5,59.03,4.83,63.86,tt2319889,85053.0,6.1,134.0,25.0,2700000.0,Blockbuster
Finding Fanny,35.91,49.88,13.89,63.77,tt3142688,283201.0,5.4,102.0,44.0,2489400.0,Blockbuster
Shamshera,42.48,50.57,13.01,63.58,tt8426926,539686.0,5.5,158.0,53.0,200000.0,Blockbuster
Hasee Toh Phasee,37.4,51.94,11.44,63.38,tt3173910,251626.0,6.543,141.0,104.0,5200000.0,Blockbuster
Srikanth,50.05,59.58,3.34,62.92,tt23790740,1093971.0,7.583,134.0,18.0,4500000.0,Blockbuster
Matru Ki Bijlee Ka Mandola,41.0,52.56,10.33,62.89,tt2106537,139521.0,5.6,151.0,42.0,6500000.0,Blockbuster
Khatta Meetha,38.66,53.69,9.08,62.77,tt1455811,44565.0,5.617,155.0,64.0,7500000.0,Blockbuster
Bunty Aur Babli,36.25,50.35,12.39,62.74,tt448206,,5.419,140.0,50.0,2200000.0,Blockbuster
Raksha Bandhan,44.39,52.85,8.76,61.61,tt12834962,729700.0,6.045,110.0,22.0,8799651.0,Blockbuster
Cirkus,35.65,42.44,19.03,61.47,tt11112808,755045.0,3.8,140.0,16.0,230.0,Blockbuster
Blue,38.55,49.42,11.88,61.3,tt1595859,,7.7,43.0,51840.0,20000000.0,Blockbuster
Guzaarish,29.32,40.72,20.58,61.3,tt1438298,41518.0,7.4,126.0,119.0,13000000.0,Blockbuster
Bachna Ae Haseeno,36.19,50.26,10.79,61.05,tt1182972,15864.0,6.103,153.0,87.0,2400000.0,Blockbuster
Bhoothnath Returns,39.54,54.92,5.4,60.32,tt3531852,264085.0,6.3,152.0,79.0,5750000.0,Blockbuster
Mardaani,35.82,49.75,9.8,59.55,tt3495000,287767.0,6.6,113.0,102.0,2121476.0,Blockbuster
Antim - The Final Truth,39.06,46.5,12.61,59.11,tt13491110,774607.0,6.6,140.0,25.0,2710738.0,Blockbuster
Sarkar Raj,34.31,47.65,10.95,58.6,tt490210,,7.231,164.0,50.0,25000000.0,Blockbuster
Kill Dil,33.14,46.03,12.57,58.6,tt3380264,296690.0,5.2,127.0,40.0,6431385.0,Blockbuster
Bareilly Ki Barfi,34.55,47.99,10.56,58.55,tt6967980,467106.0,6.848,123.0,174.0,2740700.0,Blockbuster
October,39.06,50.08,8.33,58.41,tt7700730,496527.0,6.859,109.0,103.0,13000000.0,Blockbuster
Force 2,35.74,49.64,8.61,58.25,tt5156746,426558.0,6.7,123.0,43.0,6500000.0,Blockbuster
All The Best,41.41,53.09,4.95,58.04,tt35675007,1449379.0,7.0,140.0,1.0,12312.5,Blockbuster
Lagaan: Once Upon a Time in India,34.31,47.65,10.38,58.03,tt169102,,5.237,123.0,50.0,5103000.0,Blockbuster
Hamari Adhuri Kahani,34.43,47.82,10.18,58.0,tt3483612,339367.0,6.2,129.0,44.0,4375500.0,Blockbuster
Naam Shabana,36.76,51.06,6.5,57.56,tt6170954,441071.0,5.759,147.0,54.0,18000000.0,Blockbuster
A Flying Jatt,38.61,53.63,3.86,57.49,tt5235880,396643.0,3.1,151.0,38.0,5103000.0,Blockbuster
Ghayal Once Again,35.7,49.58,7.2,56.78,tt4683366,381298.0,5.9,127.0,21.0,6629605.0,Blockbuster
Khel Khel Mein,40.36,48.05,8.73,56.78,tt36632077,,5.2,153.0,50.0,10400000.0,Blockbuster
Tumhari Sulu,36.15,46.35,10.14,56.49,tt6791730,460844.0,6.455,140.0,44.0,4375500.0,Blockbuster
Baby John,35.98,42.83,13.66,56.49,tt27757805,1083241.0,5.947,162.0,19.0,21176000.0,Blockbuster
Ittefaq,30.21,38.73,17.53,56.26,tt6692354,464458.0,6.868,107.0,106.0,4400000.0,Blockbuster
Salaam Namaste,26.2,36.39,19.71,56.1,tt456165,,5.357,143.0,50.0,6400000.0,Blockbuster
Vicky Donor,35.5,49.31,6.66,55.97,tt2317337,103243.0,6.8,122.0,174.0,700000.0,Blockbuster
Batti Gul Meter Chalu,37.73,48.37,7.47,55.84,tt7720922,496334.0,6.0,161.0,27.0,7100000.0,Blockbuster
Baar Baar Dekho,31.24,43.39,12.35,55.74,tt5197544,392344.0,5.8,141.0,58.0,7400000.0,Blockbuster
Vicky Vidya Ka Woh Wala Video,39.56,47.1,8.41,55.51,tt29330913,1213712.0,4.313,152.0,9.0,3014770.0,Blockbuster
Chhapaak,34.08,40.57,14.87,55.44,tt9614460,590404.0,7.323,123.0,31.0,9500000.0,Blockbuster
Bullett Raja,36.24,46.46,8.97,55.43,tt2551378,220495.0,5.8,138.0,30.0,7.0,Blockbuster
Jigra,30.69,36.54,18.51,55.05,tt26733317,1184889.0,6.3,155.0,53.0,31000000.0,Blockbuster
Patiala House,31.16,43.28,11.71,54.99,tt1535467,53299.0,5.973,140.0,55.0,3000000.0,Blockbuster
Border,39.46,52.61,1.92,54.53,tt5501104,517839.0,6.684,110.0,857.0,14040000.0,Blockbuster
Mausam,29.75,41.32,13.11,54.43,tt151511,,7.0,111.0,50.0,19700000.0,Blockbuster
Runway 34,32.96,39.24,14.53,53.77,tt11460992,766116.0,6.529,141.0,52.0,12003848.0,Blockbuster
Ladies VS Ricky Bahl,32.97,45.79,7.86,53.65,tt1954598,82698.0,5.96,140.0,75.0,11000000.0,Blockbuster
Garam Masala,29.0,40.28,13.29,53.57,tt453671,,5.833,154.0,50.0,3600000.0,Blockbuster
Romeo Akbar Walter,38.83,45.84,7.64,53.48,tt8550208,585862.0,6.1,141.0,39.0,11000000.0,Blockbuster
Chandni Chowk To China,29.46,37.77,15.67,53.44,tt1091229,20002.0,4.564,154.0,70.0,12000000.0,Blockbuster
Mujhse Shaadi Karogi,29.11,40.43,12.64,53.07,tt418362,,5.6,120.0,50.0,5103000.0,Blockbuster
Badmaash Company,35.41,49.18,3.8,52.98,tt1602476,37822.0,5.875,144.0,52.0,1900000.0,Blockbuster
Rascals,32.6,45.28,7.68,52.96,tt110366,,5.5,122.0,50.0,13000000.0,Blockbuster
Love Aaj Kal,34.99,41.65,10.98,52.63,tt1275863,19663.0,6.2,128.0,105.0,12500000.0,Blockbuster
Azhar,33.03,45.88,6.67,52.55,tt4906984,391778.0,5.691,130.0,34.0,9100000.0,Blockbuster
Highway,30.61,42.51,9.93,52.44,tt165361,,4.0,131.0,50.0,36320000.0,Blockbuster
Teri Meri Kahaani,25.75,35.76,16.66,52.42,tt2354407,120942.0,5.955,117.0,33.0,12300000.0,Blockbuster
Kahaani 2,32.93,45.74,6.47,52.21,tt5477608,413547.0,6.609,127.0,55.0,5510000.0,Blockbuster
Khoobsurat,24.75,34.38,17.72,52.1,tt3554418,291157.0,6.605,130.0,119.0,230.0,Blockbuster
Mr. & Mrs. Mahi,36.28,43.19,8.77,51.96,tt16227342,901315.0,6.3,139.0,10.0,8391922.0,Blockbuster
Salaam-E-Ishq,22.68,31.5,20.46,51.96,tt485272,,4.9,201.0,50.0,3500000.0,Blockbuster
Heyy Babyy,24.48,34.0,17.56,51.56,tt806088,,7.269,125.0,50.0,14000000.0,Blockbuster
Mangal Pandey - The Rising,27.86,38.69,12.66,51.35,tt346457,,6.9,170.0,50.0,12500000.0,Blockbuster
Tashan,29.35,40.76,10.51,51.27,tt995752,,6.914,154.0,50.0,9100000.0,Blockbuster
Mastizaade,36.44,50.61,0.5,51.11,tt3726012,363185.0,2.852,119.0,27.0,41100000.0,Blockbuster
Jhoom Barabar Jhoom,27.27,37.88,13.2,51.08,tt833476,,5.1,30.0,50.0,6700000.0,Blockbuster
NH10,32.39,44.99,5.98,50.97,tt3742284,330431.0,6.8,115.0,81.0,200000.0,Blockbuster
Raavan,29.17,40.51,10.33,50.84,tt1334470,37460.0,4.9,138.0,26.0,4200000.0,Blockbuster
Hero,33.37,46.35,4.45,50.8,tt299977,,5.9,133.0,50.0,3012048.0,Blockbuster
Bellbottom,30.63,36.46,14.12,50.58,tt11260832,721048.0,6.278,123.0,36.0,9535827.0,Blockbuster
Dhamaal,32.51,45.15,5.04,50.19,tt845448,,6.4,101.0,50.0,12312.5,Blockbuster
Phillauri,27.1,37.64,12.13,49.77,tt5502766,413421.0,6.243,138.0,34.0,16600000.0,Blockbuster
Lootera,29.0,40.28,9.4,49.68,tt2224317,205017.0,7.0,136.0,84.0,4100000.0,Blockbuster
Delhi-6,30.7,39.36,10.19,49.55,tt1043451,20027.0,6.0,141.0,52.0,2200000.0,Blockbuster
Jab We Met,31.06,43.14,6.4,49.54,tt1093370,11807.0,7.3,138.0,286.0,2300000.0,Blockbuster
Panipat,34.28,40.81,8.48,49.29,tt8176040,577332.0,6.2,171.0,35.0,2200000.0,Blockbuster
Pagalpanti,33.01,39.3,9.87,49.17,tt9495690,649487.0,4.7,149.0,18.0,600000.0,Blockbuster
Uunchai,34.2,40.71,8.28,48.99,tt15309708,1009432.0,6.194,169.0,18.0,3300000.0,Blockbuster
Madgaon Express,38.47,45.8,3.18,48.98,tt26745657,1201015.0,5.926,145.0,27.0,68000000.0,Blockbuster
Thank God,34.89,41.54,7.38,48.92,tt13795296,783723.0,6.4,121.0,30.0,5103000.0,Blockbuster
Jolly LLB,32.71,45.43,3.27,48.7,tt27996020,,6.272,133.0,50.0,4600000.0,Blockbuster
Action Replayy,29.06,40.36,8.2,48.56,tt1396208,49679.0,5.2,100.0,73.0,10000000.0,Blockbuster
Munna Michael,32.89,45.68,2.7,48.38,tt6117702,460508.0,5.9,139.0,46.0,41100000.0,Blockbuster
Vivah,31.56,43.83,4.45,48.28,tt494290,,7.333,154.0,50.0,7500000.0,Blockbuster
Dhoom,31.6,43.89,3.81,47.7,tt422091,,7.169,123.0,50.0,4000000.0,Blockbuster
Soorma,32.42,41.56,5.98,47.54,tt7690638,489852.0,7.2,131.0,36.0,600000.0,Blockbuster
Shehzada,32.2,38.33,9.1,47.43,tt13130948,884434.0,5.7,142.0,37.0,5103000.0,Blockbuster
Kill,24.15,28.75,18.37,47.12,tt28259207,1160018.0,7.169,105.0,399.0,4800000.0,Blockbuster
Detective Byomkesh Bakshy!,27.05,37.57,9.03,46.6,tt3447364,320295.0,6.74,139.0,96.0,5100000.0,Blockbuster
Kurbaan,27.09,34.73,11.69,46.42,tt1185442,24613.0,4.9,161.0,39.0,7700000.0,Blockbuster
Talvar,30.17,41.9,4.0,45.9,tt4934950,353464.0,7.466,132.0,174.0,3000000.0,Blockbuster
Maine Pyaar Kyun Kiya,25.69,35.68,10.22,45.9,tt451803,,6.576,109.0,50.0,9600000.0,Blockbuster
Golmaal: Fun Unlimited,29.33,40.74,5.15,45.89,tt495034,,7.3,167.0,50.0,8751000.0,Blockbuster
Mission Raniganj,33.74,40.17,5.49,45.66,tt21262240,1131409.0,5.9,134.0,13.0,21918618.0,Blockbuster
Dedh Ishqiya,27.5,38.19,7.41,45.6,tt2675978,248698.0,6.6,152.0,41.0,2710738.0,Blockbuster
Shootout At Lokhandwala,29.73,41.29,4.24,45.53,tt811066,,5.47,149.0,50.0,5.0,Blockbuster
Jaan-E-Mann,25.13,34.9,10.62,45.52,tt456481,,6.27,140.0,50.0,8000000.0,Blockbuster
Akira,28.73,39.9,5.61,45.51,tt94625,,5.6,153.0,50.0,9100000.0,Blockbuster
Billu,22.92,29.38,15.86,45.24,tt1230448,16345.0,6.373,137.0,102.0,5750000.0,Blockbuster
Taal,21.5,29.86,15.37,45.23,tt152836,,3.3,126.0,50.0,7500000.0,Blockbuster
Paa,30.49,39.09,6.06,45.15,tt1532957,26379.0,6.4,133.0,81.0,3250000.0,Blockbuster
Wake Up Sid,27.95,35.83,9.17,45.0,tt1324059,21297.0,7.243,138.0,167.0,3000000.0,Blockbuster
Judgementall Hai Kya,33.11,39.42,5.5,44.92,tt8108196,551688.0,5.8,153.0,20.0,6500000.0,Blockbuster
Jawaani Jaaneman,28.98,34.5,10.27,44.77,tt9248952,607297.0,5.955,130.0,33.0,6000000.0,Blockbuster
Raja Natwarlal,26.83,37.26,7.41,44.67,tt3483712,287859.0,6.4,141.0,25.0,5.0,Blockbuster
Thappad,30.61,36.44,8.1,44.54,tt10964430,668435.0,7.051,144.0,59.0,2859129.0,Blockbuster
Dil Bole Hadippa!,23.35,29.94,14.55,44.49,tt1202540,22609.0,5.4,148.0,54.0,1500000.0,Blockbuster
Happy Bhag Jayegi,28.82,40.03,4.39,44.42,tt5472758,406042.0,6.2,126.0,33.0,23000000.0,Blockbuster
Force,27.29,37.9,6.04,43.94,tt20256448,832262.0,6.417,112.0,217.0,16000000.0,Blockbuster
Jism - 2,30.59,42.49,1.39,43.88,tt2226666,124093.0,4.3,132.0,25.0,2006871.0,Blockbuster
Hum Dil De Chuke Sanam,24.76,34.39,9.47,43.86,tt150992,,6.531,132.0,50.0,7952450.0,Blockbuster
London Dreams,28.96,37.13,6.6,43.73,tt486615,,7.857,125.0,50.0,2850000.0,Blockbuster
Sarbjit,27.38,38.03,5.64,43.67,tt5120640,393421.0,7.6,131.0,33.0,3400000.0,Blockbuster
Dum Laga Ke Haisha,30.19,41.93,1.57,43.5,tt3495030,325138.0,7.181,111.0,130.0,23400000.0,Blockbuster
Bombay Velvet,23.67,32.88,10.18,43.06,tt2979920,316654.0,5.466,151.0,44.0,18000000.0,Blockbuster
Katti Batti,24.41,33.9,9.03,42.93,tt4467262,330636.0,5.4,138.0,16.0,12750000.0,Blockbuster
Dil Toh Baccha Hai Ji,28.91,40.15,2.74,42.89,tt1727496,55386.0,6.0,146.0,34.0,2600000.0,Blockbuster
Kyaa Kool Hain Hum 3,30.25,42.01,0.71,42.72,tt5290620,376884.0,2.8,124.0,29.0,3012048.0,Blockbuster
Jazbaa,25.23,35.04,7.63,42.67,tt4323504,360826.0,6.9,119.0,31.0,1400000.0,Blockbuster
Khakee,25.79,35.82,6.71,42.53,tt34569030,,7.5,138.0,5692.0,8400000.0,Blockbuster
Fitoor,19.28,26.78,15.6,42.38,tt4399594,376047.0,5.6,131.0,52.0,19500000.0,Blockbuster
Malamaal Weekly,26.89,37.35,4.58,41.93,tt476805,,7.555,134.0,50.0,23400000.0,Blockbuster
Omkara,23.22,32.25,9.57,41.82,tt488414,,6.543,186.0,50.0,5103000.0,Blockbuster
Panga,28.92,34.43,7.28,41.71,tt8983166,656007.0,6.8,131.0,25.0,16000000.0,Blockbuster
Biwi No 1,25.58,35.53,6.11,41.64,tt207341,,6.8,164.0,50.0,3425875.0,Blockbuster
The Shaukeens,28.0,38.89,2.64,41.53,tt3848888,297019.0,4.5,124.0,21.0,6250000.0,Blockbuster
Pari,28.96,37.13,4.27,41.4,tt7329858,461649.0,6.459,135.0,49.0,2600000.0,Blockbuster
Waqt - Race Against Time,20.25,28.13,13.26,41.39,tt390614,,5.2,72.5,50.0,21000000.0,Blockbuster
Chandigarh Kare Aashiqui,28.26,33.64,7.59,41.23,tt12861850,755836.0,5.952,117.0,42.0,4180000.0,Blockbuster
Baghban,20.65,28.68,12.44,41.12,tt337578,,6.477,157.0,50.0,4700000.0,Blockbuster
Hum Tum,21.64,30.06,11.01,41.07,tt378072,,8.4,148.0,50.0,2400000.0,Blockbuster
BHOOT: Part One - The Haunted Ship,31.97,38.06,2.88,40.94,tt10463030,616880.0,5.534,114.0,29.0,31000000.0,Blockbuster
Doctor G,26.45,31.49,9.22,40.71,tt6470478,,8.0,41.0,123791.0,20000000.0,Blockbuster
Singh Saab The Great,26.66,37.03,3.64,40.67,tt2437954,238408.0,4.8,134.0,20.0,41100000.0,Blockbuster
U Me Aur Hum,20.98,29.14,11.19,40.33,tt1039995,31897.0,6.158,157.0,19.0,21000000.0,Blockbuster
Black,23.19,32.21,7.97,40.18,tt2085059,,8.7,60.0,702839.0,6500000.0,Blockbuster
Commando 3,32.47,38.65,1.5,40.15,tt8983168,606599.0,7.281,133.0,32.0,11000000.0,Blockbuster
No One Killed Jessica,24.72,34.33,5.77,40.1,tt1734110,53569.0,6.781,136.0,80.0,4500000.0,Blockbuster
Chalte Chalte,19.44,27.0,13.09,40.09,tt346723,,7.1,136.0,50.0,1400000.0,Blockbuster
The Hero,26.23,36.43,3.63,40.06,tt5655222,425751.0,6.121,97.0,239.0,6001924.0,Blockbuster
Lakshya,23.56,32.72,7.3,40.02,tt323013,,5.9,123.0,50.0,4200000.0,Blockbuster
Ek Ladki Ko Dekha Toh Aisa Laga,20.28,26.0,13.86,39.86,tt8108164,533148.0,5.621,121.0,58.0,6629605.0,Blockbuster
Rangoon,20.68,28.72,11.06,39.78,tt4909752,392271.0,6.121,167.0,33.0,12003848.0,Blockbuster
Manmarziyaan,27.09,34.73,5.01,39.74,tt5474036,523277.0,6.8,155.0,63.0,3400000.0,Blockbuster
Shamitabh,22.46,31.19,8.52,39.71,tt3836958,323426.0,6.118,135.0,55.0,3700000.0,Blockbuster
Rocky Handsome,25.155,34.94,4.73,39.67,tt3410408,376873.0,6.254,126.0,69.0,12000000.0,Blockbuster
Baabul,17.32,24.06,15.22,39.28,tt419468,,8.2,154.0,50.0,4200000.0,Blockbuster
Ok Jaanu,23.64,32.83,6.4,39.23,tt5764024,413882.0,5.9,135.0,60.0,2600000.0,Blockbuster
Saawariya,20.92,29.06,10.16,39.22,tt758053,,6.9,134.0,50.0,10000000.0,Blockbuster
Raabta,25.67,35.65,3.4,39.05,tt5542802,456562.0,5.991,147.0,57.0,20000000.0,Blockbuster
Commando 2,25.09,34.85,4.19,39.04,tt5954088,444713.0,6.1,123.0,46.0,1200000.0,Blockbuster
Fashion,26.46,36.75,2.28,39.03,tt964516,,5.47,165.0,50.0,4500000.0,Blockbuster
Eklavya - The Royal Guard,18.88,26.22,12.63,38.85,tt459605,,6.455,122.0,50.0,13000000.0,Blockbuster
Apne,22.07,30.65,8.2,38.85,tt814014,,8.2,129.0,50.0,8751000.0,Blockbuster
Bhoothnath,23.89,33.18,5.6,38.78,tt991346,,6.565,153.0,50.0,4571000.0,Blockbuster
Kismat Konnection,22.77,31.63,6.75,38.38,tt1105733,15467.0,4.9,153.0,59.0,4180000.0,Blockbuster
Kaante,20.45,28.4,9.97,38.37,tt294662,,7.276,125.0,50.0,18000000.0,Blockbuster
Mr. X,24.79,34.43,3.87,38.3,tt3848938,329909.0,5.2,125.0,19.0,8799651.0,Blockbuster
Sarkar,24.84,34.5,3.46,37.96,tt7715202,504231.0,5.7,164.0,75.0,51000000.0,Blockbuster
Go Goa Gone,25.16,32.26,5.56,37.82,tt2436516,191562.0,5.8,111.0,110.0,2700000.0,Blockbuster
Dus,23.29,32.35,5.31,37.66,tt415768,,4.4,130.0,50.0,2740700.0,Blockbuster
36 China Town,23.05,32.01,5.28,37.29,tt477252,,7.9,167.0,50.0,3000000.0,Blockbuster
Thoda Pyaar Thoda Magic,21.67,30.1,6.83,36.93,tt1191138,14214.0,5.4,145.0,48.0,286284.0,Blockbuster
Karan Arjun,25.29,35.13,1.62,36.75,tt113526,,8.0,161.0,50.0,2859129.0,Blockbuster
Laaga Chunari Mein Daag,17.51,24.32,12.36,36.68,tt985636,,4.5,135.0,50.0,16600000.0,Blockbuster
Pardes,22.83,30.44,6.17,36.61,tt119861,,7.541,153.0,50.0,13000000.0,Blockbuster
Mrs. Chatterjee Vs Norway,21.67,25.8,10.73,36.53,tt14295590,986594.0,5.5,135.0,59.0,6400000.0,Blockbuster
Mission Kashmir,22.99,31.93,4.54,36.47,tt248185,,4.7,134.0,50.0,5103000.0,Blockbuster
Main Prem Ki Diwani Hoon,17.8,24.72,11.65,36.37,tt265148,,5.0,147.0,50.0,16440000.0,Blockbuster
Rock On!!,25.3,35.14,1.0,36.14,tt1230165,19672.0,6.83,144.0,97.0,7000000.0,Blockbuster
Mere Baap Pehle Aap,22.71,31.54,4.48,36.02,tt1170404,33206.0,4.9,163.0,27.0,1700000.0,Blockbuster
Ishq,24.93,33.24,2.65,35.89,tt29317254,,8.4,164.0,1280.0,25000000.0,Blockbuster
Joker,22.51,31.26,4.61,35.87,tt7286456,475557.0,8.133,122.0,26665.0,55000000.0,Blockbuster
Paap,2.5,35.71,6.27,35.71,tt399942,,5.917,139.0,50.0,286284.0,Blockbuster
Happy Ending,19.44,27.0,8.61,35.61,tt21087084,1139819.0,5.8,93.0,80.0,20000000.0,Blockbuster
Raaz - The Mystery Continues,25.5,32.69,2.91,35.6,tt1340838,15980.0,5.537,137.0,41.0,6250000.0,Blockbuster
